大细辛 　　马蹄细辛 苕叶细辛
土大黄 　　 酸溜溜 酸模 爱日干纳 醋缸 大黄药菜 大山七 地榆 遏蓝菜 遏蓝芽 红酸 红酸模 黄根根 活血连 金不换 九牛子 溜溜酸 莫 莫菜 牛耳大黄 牛舌棵 牛舌条 牛舌头 牛舌头草 牛舌头棵 蛆儿大黄 山菠菜 山大黄 山酸溜 山羊蹄 少捞基 生大青 水黄连 水牛舌头 水乔菜 酸不溜 酸黄 酸鸡溜 酸及溜 酸吉溜 酸吉烟 酸姜 酸浆 酸姜 酸津津 酸模秧 酸母 酸木通 酸树梗 酸酸草 酸汤菜 酸株草 薞芜 田鸡脚 土大黄 小红根 小叶羊蹄 须 癣草 羊蹄根 洋铁叶 野波菜 野菠菜 栆儿红 遏兰菜 咀儿大黄 水荞菜 酸摸 酸膜 小牛舌头 小酸模 羊蹄 野甘蔗 野高粱 gardensorrel
土大黄 　　 毛脉酸模 土大黄 乌苏图-爱日干纳 洋铁叶 宽被毛脉酸模
土大黄 　　 巴天酸模 巴山酸模 菠菜酸模 金不换 牛大黄 牛耳大黄 牛耳酸模 牛舌头棵 牛西西 山荞麦 水大黄 土大黄 乌和日-爱日干纳 羊蹄 羊蹄叶 羊铁叶 洋铁酸模 洋铁叶 针刺酸模 巴天酸膜 巴天酸摩 巴田酸模 菠叶酸模 驴耳朵 牛耳酸膜 羊啼叶 羊铁酸模 洋铁叶酸模
八仙锉散 　　经进八仙散
乌梅肉丸 　　 乌梅丸
蝎子草 　　 华丽景天 长药八宝 大叶景天 八宝 活血三七 对叶景天 白花蝎子草
白猪栗 　　 滇锥栗 椎栗 高山锥
铜骨七 　　白接骨连 红接骨连 戛戛羊 饿老虎 钻骨凤 疔药 血乌 棉絮头
内托黄耆丸 　　 内托黄耆丸
苦碟子 　　 苦菜 节托莲 小苦麦菜 苦叶苗 败酱 苦麻菜 黄鼠草 小苦苣 活血草 陷血丹 小苦荬 苦丁菜 苦碟子 光叶苦荬菜 燕儿衣 败酱草
亚香棒虫草 　　 霍克斯虫草
向日葵花 　　 春菊 马兰头花
丁公藤风湿药酒 　　 柳桂
鹿角菜 　　 鹿角菜 龙须菜
鹿胎 　　 鹿胎衣 鹿胎盘 全鹿胎
